Time,OD600,Sample_Name,Medium,Note,Generation
2020-7-23 17:26:57,0.1,M8_26,MOPS gly,,6
2020-7-23 17:43:13,0.061,M7_25,MOPS gly,,6
2020-7-23 18:06:46,0.128,M8_27,MOPS gly,3 x dilution to MOPS Gly,7
2020-7-23 18:10:13,0.084,M5_29,MOPS gly,,7
2020-7-23 18:27:24,0.071,M7_26,MOPS gly,,7
2020-7-23 18:32:09,0.099,M5_30,MOPS gly,,7
2020-7-23 18:46:48,0.109,M5_31,MOPS gly,3 x dilution to MOPS Gly,8
2020-7-23 19:07:45,0.056,M8_28,MOPS gly,,8
2020-7-23 19:26:08,0.082,M7_27,MOPS gly,,8
2020-7-23 19:39:03,0.052,M5_32,MOPS gly,,8
2020-7-23 19:49:15,0.064,M8_29,MOPS gly,,8
2020-7-23 19:54:47,0.092,M7_28,MOPS gly,,8
2020-7-23 20:22:43,0.1,M7_29,MOPS gly,3 x dilution to MOPS Gly,9
2020-7-23 20:24:23,0.071,M5_33,MOPS gly,,9
2020-7-23 20:30:45,0.078,M8_30,MOPS gly,,9
2020-7-23 21:07:04,0.092,M5_34,MOPS gly,,9
2020-7-23 21:11:42,0.097,M8_31,MOPS gly,,9
2020-7-23 21:16:28,0.04,M7_30,MOPS gly,,9
2020-7-23 21:25:10,0.104,M5_35,MOPS gly,,9
2020-7-23 21:26:38,0.106,M8_32,MOPS gly,,9
2020-7-23 21:44:25,0.118,M5_36,MOPS gly,3 x dilution to MOPS Gly,10
2020-7-23 21:47:22,0.116,M8_33,MOPS gly,3 x dilution to MOPS Gly,10
2020-7-23 22:05:52,0.046,M7_31,MOPS gly,,10
2020-7-23 22:30:11,0.055,M5_37,MOPS gly,,10
2020-7-23 22:35:57,0.05,M8_34,MOPS gly,,10
2020-7-23 23:04:45,0.056,M7_32,MOPS gly,,10
2020-7-23 23:26:12,0.079,M5_38,MOPS gly,,10
2020-7-23 23:30:08,0.062,M8_35,MOPS gly,,10
2020-7-24 0:04:51,0.072,M7_33,MOPS gly,,10
2020-7-24 0:13:14,0.108,M5_39,MOPS gly,,10
2020-7-24 0:16:39,0.079,M8_36,MOPS gly,,10
2020-7-24 0:20:31,0.076,M7_34,MOPS gly,,10
2020-7-24 0:33:22,0.123,M5_40,MOPS gly,151 x  dilution to MOPS Gly,11
2020-7-24 0:35:26,0.087,M8_37,MOPS gly,151 x  dilution to MOPS Gly,11
2020-7-24 0:37:19,0.081,M7_35,MOPS gly,151 x  dilution to MOPS Gly,11
2020-7-24 8:44:30,0.019,M5_41,MOPS gly,,11
2020-7-24 8:52:24,0.007,M7_36,MOPS gly,,11
2020-7-24 8:58:15,0.009,M8_38,MOPS gly,,11
2020-7-24 9:39:44,0.026,M5_42,MOPS gly,,11
2020-7-24 10:49:40,0.013,M7_37,MOPS gly,,11
2020-7-24 10:50:58,0.015,M8_39,MOPS gly,,11
2020-7-24 10:52:05,0.04,M5_43,MOPS gly,,11
2020-7-24 11:33:34,0.05,M5_44,MOPS gly,,11
2020-7-24 12:17:51,0.062,M5_45,MOPS gly,,11
2020-7-24 12:21:05,0.021,M7_38,MOPS gly,,11
2020-7-24 12:25:03,0.025,M8_40,MOPS gly,,11
2020-7-24 13:00:27,0.079,M5_46,MOPS gly,,11
2020-7-24 13:25:41,0.089,M5_47,MOPS gly,,11
2020-7-24 13:49:04,0.102,M5_48,MOPS gly,3 x dilution to RDM Gly,12
2020-7-24 13:58:01,0.036,M7_39,MOPS gly,,12
2020-7-24 13:59:30,0.04,M8_41,MOPS gly,,12
2020-7-24 14:08:21,0.037,M5_49,RDM gly,,12
2020-7-24 14:28:14,0.041,M5_50,RDM gly,,12
2020-7-24 14:51:48,0.051,M5_51,RDM gly,,12
2020-7-24 15:11:27,0.067,M5_52,RDM gly,,12
2020-7-24 15:27:11,0.079,M5_53,RDM gly,,12
2020-7-24 15:32:13,0.061,M7_40,MOPS gly,,12
2020-7-24 15:47:01,0.111,M5_54,RDM gly,3 x dilution to RDM Gly,13
2020-7-24 15:48:34,0.069,M8_42,MOPS gly,,13
2020-7-24 16:01:37,0.047,M5_55,RDM gly,,13
2020-7-24 16:16:59,0.063,M5_56,RDM gly,,13
2020-7-24 16:32:20,0.084,M5_57,RDM gly,,13
2020-7-24 16:35:28,0.087,M8_43,MOPS gly,,13
2020-7-24 16:38:24,0.083,M7_41,MOPS gly,,13
2020-7-24 16:46:07,0.11,M5_58,RDM gly,3 x dilution to RDM Gly,14
2020-7-24 17:01:09,0.052,M5_59,RDM gly,,14
2020-7-24 17:06:08,0.103,M8_44,MOPS gly,,14
2020-7-24 17:07:09,0.095,M7_42,MOPS gly,,14
2020-7-24 17:12:51,0.066,M5_60,RDM gly,,14
2020-7-24 17:22:51,0.081,M5_61,RDM gly,,14
2020-7-24 17:34:28,0.104,M5_62,RDM gly,,14
